execid,EXEC_FULL_NAME,Compared_Chen2016,TYPE,TWITTER ACCOUNT,First_join,First_tweet,Comments,Twitterlist,Number_follower,Number_following
899,Scott G. McNealy,,Blue,@scottmcnealy,4/13/2011,4/18/2011,retair ,1,13641,203
43846,Scott J. Dolan,,Red,@dolansceo,1/16/2009,8/23/2013,fake account,1,0,3
40273,Scott K. Ginsburg,YES,Green,@scott_ginsburg,5/16/2009,7/4/2009,,1,260,78
25279,Sean E. Menke,,Green,@SeanMenke,6/30/2011,7/1/2011,,1,157,36
36326,Sean P. Moriarty,,Green,@seanmo,2/13/2009,2/26/2013,ratair,1,995,1763
42020,Shaun E. McAlmont,YES,Green,@ShaunMcAlmont,1/31/2012,2/2/2012,,1,304,29
27640,Sherrill W. Hudson,,Red,@HudsonSherrill,2/13/2014,2/22/2014,fake account,1,20,21
24310,Shirley Singleton,YES,Green,@shirleyedge,4/28/2008,4/28/2008,,1,39,15
17732,Stanley B. Kinsey,,Green,@sbkins,7/20/2012,10/17/2012,low tweets ,1,5,14
30902,Stanton David Sloane,,Red,@DrStantonSloane,7/14/2009,,No tweeted ,1,4,5
643,Stephen A. Wynn,YES,Green,@SteveA_Wynn,N/A,8/7/2013,low tweets ,1,"[{'message': 'User not found.', 'code': 50}]"
41723,Stephen E. Carley,YES,Green,@scarley01,3/30/2009,4/7/2009,New,1,23,21
18108,Stephen G. Berman,,Red,@JakkssgbStephen,9/21/2014,,No tweeted ,1,0,2
43350,Stephen Kaufer,YES,Green,@kaufer,2/25/2009,3/14/2009,,1,4520,118
22758,Steve Odland,,Green,@SteveOdland,1/13/2012,1/16/2012,retair ,1,233,15
