Controlling Corporation ,Reporter ABN,Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Net Energy Consumed (GJ),Begin year,Begin Month,End year,End Month
PORT WARATAH COAL SERVICES LTD ,99001363828,677,130083,553824,2014,8,2015,7
POWER AND WATER CORPORATION ,15947352360,100129,130373,1576300,2014,8,2015,7
POWER GENERATION CORPORATION ,72687980755,1136723,0,16279385,2014,8,2015,7
PRATT CONSOLIDATED HOLDINGS PTY. LTD. ,43104958581,338120,1040884,21309158,2014,8,2015,7
PTTEP AUSTRALIA PERTH PTY LTD ,74134686525,419079,538,5775949,2014,8,2015,7
PUBLIC TRANSPORT AUTHORITY OF WESTERN AUSTRALIA ,61850109576,8378,98653,588596,2014,8,2015,7
PUMA ENERGY (AUSTRALIA) HOLDINGS PTY LTD ,26147978890,34940,25437,618510,2014,8,2015,7
QANTAS AIRWAYS LIMITED ,16009661901,4457927,155826,66000446,2014,8,2015,7
QCOAL PTY LTD ,99010911234,191427,31289,1507966,2014,8,2015,7
QENOS HOLDINGS PTY LTD ,62086026968,826276,175106,32149355,2014,8,2015,7
QIC LIMITED ,95942373762,5058,102222,475488,2014,8,2015,7
QNI RESOURCES PTY. LTD. ,14054117921,1169193,57109,16513745,2014,8,2015,7
QUADRANT ENERGY AUSTRALIA LTD ,39009301964,1305675,880,22557679,2014,8,2015,7
QUBE HOLDINGS LIMITED ,14149723053,266020,17188,3895069,2014,8,2015,7
