Controlling Corporation,Total scope 1 greenhouse gas emissions (t CO2-e),Total scope 2 greenhouse gas emissions (t CO2-e),Total energy consumption (GJ),Begin year,Begin Month,End year,End Month
Suncorp Group Limited,7443,66495,373262,2010,8,2011,7
SunWater,1735,96734,452175,2010,8,2011,7
Super Retail Group Limited,648,55930,222527,2010,8,2011,7
Sydney Water Corporation,139904,319578,2325226,2010,8,2011,7
T&R Consolidated Pty Ltd,26845,37702,598549,2010,8,2011,7
Tabcorp Holdings Limited,9660,135513,706461,2010,8,2011,7
Tarong Energy Corporation Limited,9149947,99891,106887980,2010,8,2011,7
Teekay Holdings Australia Pty Ltd,153224,1427,2142742,2010,8,2011,7
Telstra Corporation Limited,55137,1359125,5960547,2010,8,2011,7
Teys Australia Pty Ltd,97227,76592,992390,2010,8,2011,7
Thakral Holdings Limited,3488,51266,265561,2010,8,2011,7
Thales Australia Holdings Pty Ltd,36940,49755,511819,2010,8,2011,7
The Maddingley Mine Trust,124218,488,20304,2010,8,2011,7
The Trustee for Costa¡¯s Unit Trust,38618,66884,695511,2010,8,2011,7
The Uniting Church in Australia Property Trust (N.S.W.),9467,54256,374254,2010,8,2011,7
The Uniting Church in Australia Property Trust (Q.),14915,84590,576856,2010,8,2011,7
The University of Queensland,3537,134900,586139,2010,8,2011,7
The University of Sydney,4565,78020,396905,2010,8,2011,7
Thornberry Holdings Pty Limited,66920,1886,981617,2010,8,2011,7
Tiger Airways Australia Pty Limited,182967,0,2729227,2010,8,2011,7
Tiwest Pty Ltd,599939,316906,9681937,2010,8,2011,7
TNT Australia Pty Ltd,34333,16595,561534,2010,8,2011,7
Toga PTY LTD,4904,60838,328739,2010,8,2011,7
Toll Holdings Limited,575214,96065,8684945,2010,8,2011,7
Toyota Motor Corporation Australia Ltd.,40384,124339,1116615,2010,8,2011,7
TransAlta Energy (Australia) Pty Ltd,698597,25,13448478,2010,8,2011,7
Transend Networks Pty Ltd,4034,98042,1144220,2010,8,2011,7
Transfield Services Limited,1069026,61525,17196429,2010,8,2011,7
Transfield Worley Power Services Pty Ltd,2977460,3558,32650878,2010,8,2011,7
TransGrid,19511,2339339,9441758,2010,8,2011,7
Transit Systems Pty Ltd,56716,4662,1362525,2010,8,2011,7
Transpacific Industries Group Ltd,847178,48170,5010983,2010,8,2011,7
Trility Group Pty Ltd,112678,41664,1740971,2010,8,2011,7
